Παροχή_Κωδικοποιημένη,Ημ.Έκδοσης,"Περίοδος Κατανάλωσης",ΣΕΛΙΔΑ,Τιμολόγιο,ΤΥΠΟΣ,Ημέρα,Προηγ.,ΣΩΧΒ,Συν.ΩΧΒ,ΧρΖητ,ΣυμφΙσχ,ΕγκΙσχ,Συνφ,ΖητΑιχ,ΖητΗμ,ΖητΝυκ,ΣυντΧρησ,"ΧΡΕΩΣΕΙΣ ΠΡΟΜΗΘΕΙΑΣ ΔΕΗ","ΦΠΑ  6% x","ΡΥΘΜΙΖΟΜΕΝΕΣ ΧΡΕΩΣΕΙΣ","ΦΠΑ   % x          0,00","ΜΕΙΟΝ ΕΝΑΝΤΙ ΚΑΤΑΝΑΛΩΣΗΣ",Ε.Ρ.Τ.,"ΤΡΕΧΩΝ ΜΗΝΑΣ",ΕΚΠΤ.ΣΥΝΕΠΕΙΑΣ/ΠΡΟΠΛΗΡΩΜΗΣ,ΔΗΜ.ΤΕΛΗ/ΔΗΜ.ΦΟΡΟΣ,ΔΙΑΦ.ΧΡΕΩΣΕΙΣ/ΠΙΣΤΩΣΕΙΣ,Τ.Α.Π.,Τελευτ.,"Αεργος Ημέρα",Τελευτ._Αεργος,Προηγ._Αεργος,ΣΩΧΒ_Αεργος,Συν.ΩΧΒ_Αεργος,Νύχτα,Προηγ._Νύχτα,ΣΩΧΒ_Νύχτα,Συν.ΩΧΒ_Νύχτα,year,month,Τελευτ._Νύχτα,Ημέρα_2,Προηγ._2,ΣΩΧΒ_2,Συν.ΩΧΒ_2,Τελευτ._2
391,18/08/2022,16.06.2022-17.08.2022,18,Γ21,ΕΝΑΝΤΙ,Ημέρα,69310,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","129,11","10,42","44,44","0,00","0,00","0,00","184,00","0,00","0,00","0,03","0,00",,,,,,,,,,,2022,8,,,,,,
88,22/04/2021,22.02.2021-20.04.2021,4,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,73046,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","806,64","75,16","446,04","0,00","0,00","0,00","1328,00","0,00","0,00","0,16","0,00",,,,,,,,,,,2021,4,,,,,,
465,05/07/2022,03.06.2022-30.06.2022,6,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,3495,40,1560,"22,4",85,65,"0,9843","0,00",12,"0,00","19,4","326,74","27,10","119,89","0,00","0,00","2,76","483,00","-2,78","0,00","9,29","0,00",3534,Αεργος,552,545,40,280,,,,,2022,7,,,,,,
404,08/10/2021,07.06.2021-05.10.2021,16,Γ21,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,22850,1,6201,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","934,18","67,23","384,50","0,00","-229,06","0,00","1194,00","0,00","0,00","37,15","0,00",29051,,,,,,,,,,2021,10,,,,,,
92,21/04/2022,21.02.2022-19.04.2022,4,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,81578,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","340,36","25,81","89,82","0,00","0,00","0,00","456,00","0,00","0,00","0,01","0,00",,,,,,,,,,,2022,4,,,,,,
312,21/04/2022,21.02.2022-19.04.2022,13,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,57492,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","1,16","0,22","2,51","0,00","0,00","0,00","4,00","0,00","0,00","0,11","0,00",,,,,,,,,,,2022,4,,,,,,
475,22/10/2021,23.08.2021-20.10.2021,20,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,80620,1,0,"0,000",8,0,"1,0000","0,00","0,00","0,00","0,000","152,77","14,36","86,51","0,00","0,00","5,82","259,00","0,00","0,00","-0,46","0,00",,,,,,,,,,,2021,10,,,,,,
137,24/12/2021,21.10.2021-22.12.2021,9,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,57954,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","160,49","15,09","90,91","0,00","0,00","0,00","267,00","0,00","0,00","0,51","0,00",,,,,,,,,,,2021,12,,,,,,
250,26/02/2021,24.08.2020-23.02.2021,15,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,98514,1,4496,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","450,00","17,74","253,73","0,00","-430,44","0,00","317,00","0,00","0,00","25,97","0,00",3010,,,,,,,,,,2021,2,,,,,,
105,02/06/2022,01.02.2022-30.05.2022,5,Γ21,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,86212,1,3319,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","632,25","28,88","202,65","0,00","-316,40","0,00","514,00","-5,75","0,00","-27,63","0,00",89531,,,,,,,,,,2022,6,,,,,,
